File,X,Y,Z
M04N3V2,-0.146,1.025,-1.074
M04N4V1,-0.104,1.029,-1.048
M04N5V1,-0.169,1.028,-1.188
M04N5V2,-0.02,1.008,-0.068
M04SA0V1,0.148,1.023,-0.473
M04SA1V1,0.331,1.024,0.543
M04SA1V2,-0.087,1.038,0.123
M04SA1V3,-0.195,1.039,-0.169
M04SA2V1,-0.277,1.038,-0.028
M04SA2V2,-0.252,1.023,-0.004
M04SA3V1,-0.165,1.035,0.068
M04SA4V1,-0.237,1.022,0.236
M04SA5V1,-0.154,1.026,-0.305
M04SA5V2,-0.047,1.023,-0.56
M04SU0V1,-0.327,1.015,-0.734
M04SU0V2,-0.168,1.019,-0.629
M04SU0V3,-0.003,1.016,-0.185
M04SU1V1,-0.031,1.03,0.01
M04SU2V1,-0.094,1.024,0.146
M04SU2V2,-0.124,1.011,0.149
M04SU3V1,-0.123,1.02,0.105
M04SU3V2,-0.305,1.042,-0.09
M04SU3V3,-0.609,1.042,-0.044
M04SU4V1,-0.6,1.024,0.101
M04SU5V1,-0.802,1.024,0.265
M05A0V1,-0.208,1.024,0.082
M05A1V1,-0.743,1.025,0.417
M05A1V2,-0.776,1.026,0.464
M05A2V1,-0.584,1.025,0.194
M05A2V2,-0.66,1.026,0.35
M05A3V1,-0.486,1.026,0.151
M05A4V1,-0.244,1.025,-0.008
M05A5V1,-0.522,1.024,0.116
M05A5V2,-0.097,1.024,0.003
M05D0V1,-0.563,1.037,-0.034
M05D1V1,-1.612,1.026,1.694
M05D1V2,-1.617,1.025,1.767
M05D2V1,-1.56,1.026,1.619
M05D3V1,-1.465,1.026,1.553
M05D4V1,-1.487,1.02,1.466
M05D4V2,-1.341,1.024,1.493
M05D5V1,-1.208,1.026,1.226
M05D5V2,-1.348,1.024,1.334
M05F0V1,-0.357,1.024,0.317
M05F0V2,-0.416,1.025,-0.04
M05F0V3,-0.408,1.024,-0.092
M05F1V1,-0.576,1.026,0.202
M05F2V1,-0.39,1.023,0.103
M05F3V1,-0.458,1.026,0.242
M05F4V1,-0.403,1.022,0.173
M05F4V2,-0.406,1.025,0.197
M05F5V1,-1.655,1.019,1.846
M05H0V1,-0.185,1.019,-0.001
M05H0V2,-0.523,1.025,0.154
M05H0V3,-0.551,1.022,0.102
M05H0V4,-0.584,1.021,0.122
M05H0V5,-0.116,1.025,0.045
M05H1V1,-1.21,1.032,1.059
M05H1V2,-1.329,1.024,1.055
M05H1V3,-1.442,1.026,1.08
M05H2V1,-1.097,1.023,1.018
M05H3V1,-0.92,1.027,0.845
M05H3V2,-0.977,1.026,0.916
M05H4V1,-0.828,1.025,0.786
M05H5V1,-0.808,1.026,0.451
M05N1V1,-0.366,1.021,0.02
M05N1V2,-0.397,1.018,0.137
M05N2V1,-0.433,1.025,0.186
M05N3V1,-0.482,1.024,0.167
M05N4V1,-0.495,1.027,0.16
M05N5V1,-0.605,1.03,0.062
M05SA0V1,-0.304,1.024,0.285
M05SA1V1,-0.452,1.023,0.071
M05SA1V2,-0.503,1.025,-0.02
M05SA2V1,-0.194,1.019,-1.948
M05SA3V1,0.098,1.025,-2.047
M05SA3V2,-0.022,1.024,-1.976
M05SA3V3,-0.063,1.025,-1.967
M05SA4V1,-0.73,1.021,0.291
M05SA4V2,0.205,1.024,-2.247
M05SA5V1,-0.623,1.023,0.235
M05SU0V1,-0.723,1.025,0.107
M05SU1V1,-1.265,1.025,1.066
M05SU2V1,-1.27,1.026,0.853
M05SU2V2,-1.356,1.024,0.943
M05SU3V1,-0.902,1.018,0.459
M05SU3V2,-1.327,1.025,0.639
M05SU4V1,-0.821,1.027,0.177
M05SU4V2,-0.941,1.023,0.466
M05SU5V1,-0.704,1.02,0.205
M05SU5V2,-0.754,1.027,0.228
M06A0V1,-0.282,1.026,0.223
M06A1V1,0.258,1.025,-0.103
M06A2V1,-0.298,1.026,-0.707
M06A2V2,0.116,1.024,-0.005
M06A3V1,-0.427,1.024,-0.308
M06A4V1,0.01,1.026,-0.177
M06A4V2,-0.5,1.024,-0.15
M06A5V1,-0.035,1.027,-0.049
M06D0V1,-0.158,1.021,0.056
M06D1V1,-0.451,1.025,-0.106
M06D1V2,-0.459,1.027,-0.171
M06D2V1,-0.045,1.026,-0.07
M06D2V2,-0.475,1.025,-0.123
M06D3V1,-0.154,1.024,-0.042
M06D4V1,0.034,1.026,0.031
M06D5V1,-0.01,1.025,0.014
M06F0V1,-0.164,1.02,0.283
M06F0V2,-0.179,1.019,0.265
M06F1V1,-1.753,1.023,1.022
M06F2V1,-1.653,1.017,0.945
M06F3V1,-1.468,1.024,0.466
M06F3V2,-1.48,1.025,0.511
M06F4V1,-1.044,1.019,-0.109
M06F4V2,-1.203,1.023,0.415
M06F5V1,-0.465,1.024,-0.162
M06F5V2,-0.609,1.021,-0.132
M06H0V1,0.874,1.025,-1.562
M06H0V2,-0.359,1.025,0.028
M06H1V1,-0.495,1.024,-0.254
M06H2V1,-0.209,1.026,-0.431
M06H3V1,-0.277,1.023,-0.181
M06H4V1,-0.143,1.027,-0.231
M06H4V2,-0.021,1.025,0.1
M06H4V3,-0.362,1.027,-0.552
M06H5V1,0.421,1.023,-0.254
M06H5V2,-0.449,1.027,-0.002
M06N1V2,0.023,1.024,-0.047
M06N2V1,0.094,1.026,-0.196
M06N3V1,0.165,1.025,-0.43
M06N4V1,0.196,1.026,-0.603
M06N5V1,0.143,1.016,-0.729
M06SA0V1,-0.108,1.022,0.097
M06SA0V2,0.045,1.025,-0.402
M06SA1V1,0.308,1.027,-0.029
M06SA1V2,0.335,1.027,-0.095
M06SA2V1,0.034,1.027,0.036
M06SA3V1,-2.048,1.024,1.322
M06SA4V1,-1.971,1.027,1.179
M06SA5V1,0.463,1.026,-0.137
M06SU0V1,-0.286,1.021,0.017
M06SU0V2,-0.109,1.02,-0.028
M06SU1V2,-0.027,1.026,0.035
M06SU2V1,0.079,1.022,-0.721
M06SU2V2,-0.319,1.024,-0.574
M06SU3V1,0.062,1.023,-0.626
M06SU4V1,0.019,1.023,-0.365
M06SU5V1,0.029,1.022,-0.405
M07A0V1,-0.383,1.022,-1.155
M07A1V1,-0.561,1.023,-0.118
M07A2V1,-0.444,1.029,-0.09
M07A3V1,-0.665,1.028,-0.127
M07A4V1,-0.948,1.026,-0.068
M07A5V1,-1.151,1.029,0.297
M07D0V1,-0.394,1.023,-0.839
M07D1V1,-1.502,1.028,-1.084
M07D1V2,-1.799,1.026,-1.231
M07D2V1,-1.645,1.026,-1.442
M07D3V1,-0.456,1.023,-0.049
M07D4V1,-0.244,1.022,-0.34
M07D5V1,-0.38,1.002,-0.091
M07F0V1,0.097,1.021,-0.198
M07F0V2,-0.195,1.022,0.063
M07F1V1,-0.585,1.008,-0.388
M07F2V1,-0.774,1.002,-0.405
M07F3V1,-0.507,1.024,-0.376
M07F3V2,-0.23,1.03,-0.084
M07F4V1,-0.593,1.032,-0.054
M07F5V1,1.453,1.028,0.175
M07H0V1,-0.621,1.028,-0.342
M07H0V2,-0.727,1.014,-0.622
M07H1V1,0.197,1.027,-0.257
M07H1V2,-0.43,1.029,-0.131
M07H2V1,-0.501,1.027,-0.323
M07H3V1,-0.603,1.028,-0.413
M07H4V1,-0.166,1.026,-0.236
M07H4V2,-0.454,1.026,-0.121
M07H5V1,-0.356,1.047,-0.198
M07H5V2,-0.437,1.025,0.14
M07N1V1,0.05,1.023,-0.005
M07N2V1,-0.166,1.026,-0.041
M07N2V2,-0.16,1.025,-0.332
M07N3V1,-0.119,1.024,-0.432
M07N3V2,-0.249,1.025,-0.462
M07N3V3,-0.348,1.021,-0.354
M07N4V1,-0.408,1.021,-0.48
M07N4V2,-0.405,1.024,-0.532
M07N5V1,-0.483,1.026,-0.571
M07SA0V1,0.141,1.015,-0.227
M07SA1V1,1.438,1.03,0.618
M07SA2V1,-0.241,1.024,-0.071
M07SA2V2,-0.151,1.023,-0.07
M07SA3V1,-0.358,1.027,0.488
M07SA3V2,-0.286,1.027,-0.397
M07SA4V1,-0.26,1.028,-0.23
M07SA5V1,-0.358,1.027,-0.112
M07SU0V1,-0.474,1.021,-0.866
M07SU1V1,-0.626,1.024,-0.678
M07SU2V1,-0.98,1.023,-0.703
M07SU3V1,-1.314,1.026,-0.701
M07SU4V1,-1.405,1.02,-0.716
M07SU4V2,-1.482,1.018,-0.636
M07SU5V1,-1.472,1.023,-0.573
M08A0V1,1.435,1.01,-1.83
M08A1V1,0.102,1.026,-0.228
M08A1V2,0.203,1.024,-0.285
M08A1V3,0.187,1.021,-0.327
M08A2V1,0.439,1.024,-0.171
M08A3V1,0.632,1.004,-0.233
M08A4V1,0.482,1.022,-0.177
M08A5V1,0.588,1.013,-0.014
M08D0V1,0.155,1.013,-0.355
M08D0V2,0.248,1.021,-0.381
M08D1V1,-0.337,1.026,0.534
M08D1V2,-0.38,1.018,0.438
M08D1V3,-0.431,1.024,0.491
M08D2V1,-0.514,1.022,0.605
M08D3V1,0.184,1.02,-0.013
M08D4V1,-0.427,1.024,0.722
M08D5V1,-0.519,1.023,-0.058
M08F0V1,1.094,1.015,-1.968
M08F0V2,-0.084,1.015,0.029
M08F0V3,0.08,1.02,-0.12
M08F0V4,0.147,1.013,-0.064
M08F0V5,0.453,1.023,-0.665
M08F0V6,-0.497,1.024,0.518
M08F1V1,-0.067,1.026,0.177
M08F1V2,0.298,1.025,-0.295
M08F1V3,-0.205,1.025,0.964
M08F2V1,0.113,1.03,0.855
M08F3V1,-0.154,1.029,0.937
M08F4V1,-0.447,1.02,-0.029
M08F4V2,-0.367,1.026,0.697
M08F5V1,0.217,1.024,-0.135
M08H0V1,1.679,1.015,-1.928
M08H0V2,1.672,1.018,-2.001
M08H0V3,1.435,1.013,-1.779
M08H1V1,-0.622,1.011,0.663
M08H1V2,-0.731,1.006,0.664
M08H1V3,-0.721,1.016,0.475
M08H2V1,0.173,1.008,-0.426
M08H3V1,0.486,1.025,-0.43
M08H3V2,0.406,1.02,-0.185
M08H4V1,0.478,1.031,-0.237
M08H5V1,0.589,1.025,-0.046
M08H5V2,1.115,1.025,-1.974
M08N1V1,-0.519,1.022,0.63
M08N2V1,-0.443,1.026,0.388
M08N3V1,-0.548,1.022,0.641
M08N4V1,0.209,1.021,-0.171
M08N5V1,0.178,1.017,-0.316
M08SA0V1,1.368,1.013,-2.329
M08SA0V2,1.173,1.024,-2.058
M08SA0V3,1.134,1.024,-2.049
M08SA1V1,0.515,1.021,-0.003
M08SA1V2,-0.256,1.028,0.228
M08SA2V1,-0.276,1.026,0.347
M08SA2V2,-0.166,1.021,0.431
M08SA2V3,-0.245,1.02,0.413
M08SA3V1,-0.084,1.027,0.126
M08SA3V2,-0.128,1.023,0.264
M08SA4V1,-0.407,1.025,0.497
M08SA5V1,-0.378,1.026,0.404
M08SU0V1,0.002,1.015,-0.555
M08SU0V2,-0.21,1.018,-1.559
M08SU0V3,0.218,1.016,-0.392
M08SU1V1,-0.521,1.026,0.032
M08SU1V2,-0.457,1.024,0.014
M08SU2V1,-0.211,1.018,0.005
M08SU3V1,-0.214,1.024,0.058
M08SU3V2,-0.12,1.022,0.116
M08SU4V1,-0.079,1.026,0.223
M08SU5V1,-0.251,1.02,0.501
M08SU5V2,-0.251,1.027,0.699
M08SU5V3,-0.003,1.026,-0.086
M09A0V1,1.313,1.025,-2.81
M09A0V2,1.262,1.027,-2.772
M09A1V1,-0.368,1.025,-0.659
M09A1V2,-0.444,1.026,0.046
M09A2V1,-0.511,1.025,-0.508
M09A3V1,-0.51,1.026,-0.61
M09A3V2,-0.234,1.024,0.007
M09A4V1,-0.256,1.023,-0.146
M09A5V1,0.035,1.024,0
M09A5V2,-0.374,1.024,0.025
M09D0V1,-0.386,1.023,-0.089
M09D1V1,-0.621,1.025,-0.264
M09D1V2,-0.636,1.027,-0.305
M09D1V3,-0.591,1.029,-0.543
M09D1V4,-0.553,1.026,-0.047
M09D2V1,-0.371,1.022,-0.463
M09D2V2,-0.418,1.028,-0.49
M09D2V3,-0.416,1.026,-0.572
M09D3V1,-0.584,1.026,-0.516
M09D3V2,-0.353,1.029,-0.162
M09D4V1,-0.503,1.027,-0.23
M09D5V1,-0.542,1.028,-0.483
M09D5V2,-0.598,1.028,-0.516
M09F0V1,-0.451,1.029,0.04
M09F1V1,-0.604,1.028,-1.182
M09F1V2,-0.658,1.028,-1.096
M09F2V1,-0.732,1.023,-0.954
M09F3V1,-0.758,1.028,-1.032
M09F4V1,-0.379,1.029,-0.114
M09F4V2,-0.402,1.03,0.001
M09F5V1,-0.48,1.028,-0.191
M09H0V1,1.143,1.014,-2.319
M09H0V2,1.276,1.023,-2.388
M09H1V1,-0.422,1.028,-0.213
M09H1V2,-0.455,1.025,-0.012
M09H1V3,-0.546,1.028,-0.212
M09H2V1,-0.577,1.023,-0.203
M09H3V1,-0.549,1.029,-0.299
M09H3V2,-0.61,1.026,-0.382
M09H4V1,-0.646,1.028,-0.633
M09H5V1,-0.606,1.027,-0.857
M09N1V1,-0.359,1.023,-0.254
M09N1V2,-0.359,1.024,-0.297
M09N1V3,-0.374,1.024,-0.317
M09N1V4,-0.364,1.024,-0.383
M09N2V1,-0.354,1.03,-0.386
M09N3V1,-0.363,1.024,-0.434
M09N4V1,-0.354,1.028,-0.511
M09N5V1,-0.376,1.027,-0.531
M09SA0V1,1.145,1.024,-2.891
M09SA1V1,-0.223,1.023,-0.076
M09SA1V2,-0.365,1.024,0.176
M09SA2V1,0.003,1.028,0.035
M09SA2V2,-0.085,1.028,0.111
M09SA2V3,-0.069,1.027,-0.103
M09SA3V1,-0.04,1.028,-0.205
M09SA4V1,-0.07,1.028,-0.183
M09SA4V2,-0.421,1.029,-0.036
M09SA5V1,-0.467,1.028,-0.014
M09SA5V2,-0.471,1.028,-0.006
M09SU0V1,-0.427,1.028,-0.066
M09SU0V2,-0.394,1.023,0.035
M09SU1V1,-0.476,1.029,-0.035
M09SU1V2,-0.508,1.028,-0.086
M09SU1V3,-0.532,1.027,-0.17
M09SU2V1,-0.541,1.028,-0.181
M09SU3V1,-0.542,1.031,-0.212
M09SU3V2,-0.43,1.028,-0.009
M09SU4V1,-0.129,1.027,-0.017
M09SU5V1,-0.065,1.026,-0.093
M09SU5V2,-0.331,1.029,-0.131
M10A0V1,0.24,1.026,-1.739
M10A0V2,0.213,1.026,-1.698
M10A0V3,-0.024,1.028,0.071
M10A1V1,-0.49,1.029,0.12
M10A1V2,-0.545,1.03,0.156
M10A2V1,-0.575,1.026,0.174
M10A3V1,-0.63,1.029,0.2
M10A4V1,-0.68,1.029,0.179
M10A5V1,-0.662,1.029,0.173
M10D0V1,-0.319,1.028,0.064
M10D0V2,-0.383,1.028,-0.025
M10D1V1,-0.408,1.028,-0.004
M10D2V1,-0.487,1.028,0.033
M10D2V2,-0.478,1.028,0.029
M10D3V1,-0.574,1.029,0.031
M10D4V1,-0.388,1.028,0.026
M10D4V2,-0.466,1.029,-0.012
M10D5V1,-0.513,1.029,0.051
M10F0V1,-0.07,1.027,0.139
M10F0V2,-0.25,1.028,0.032
M10F1V1,-0.476,1.028,0.139
M10F1V2,-0.585,1.027,0.187
M10F1V3,-0.612,1.029,0.152
M10F2V1,-0.688,1.029,0.189
M10F2V2,-0.762,1.026,0.077
M10F2V3,-1.006,1.025,0.195
M10F3V1,-1.05,1.028,0.258
M10F4V1,-0.465,1.028,0.037
M10F4V2,-0.601,1.029,0.025
M10F4V3,-0.624,1.029,-0.055
M10F4V4,-0.633,1.024,-0.035
M10F4V5,-0.643,1.025,-0.311
M10F5V1,-0.673,1.03,0.032
M10H0V1,0.46,1.028,-1.583
M10H0V2,0.385,1.027,-1.65
M10H1V1,-0.773,1.027,0.148
M10H2V1,-0.725,1.029,0.273
M10H3V1,-0.764,1.03,0.225
M10H4V1,-0.859,1.034,0.198
M10H5V1,-0.882,1.03,0.197
M10N1V1,-0.577,1.017,0.01
M10N2V1,-0.611,1.028,0.002
M10N3V1,-0.632,1.023,-0.024
M10N4V1,-0.604,1.028,-0.063
M10N5V1,-0.693,1.028,-0.023
M10SA0V1,-0.097,1.026,0.038
M10SA0V2,-0.123,1.027,0.071
M10SA1V1,-0.756,1.03,0.102
M10SA1V2,-0.454,1.029,0.005
M10SA1V3,-0.535,1.029,-0.019
M10SA2V1,-0.611,1.029,-0.014
M10SA3V1,-0.627,1.021,-0.036
M10SA3V2,-0.657,1.027,-0.019
M10SA4V1,-0.68,1.026,0.002
M10SA4V2,-0.727,1.027,0.027
M10SA5V1,-0.731,1.028,-0.005
M10SA5V2,-0.709,1.027,-0.03
M10SU0V1,-0.5,1.022,-0.048
M10SU1V1,-0.843,1.027,0.242
M10SU1V2,-0.484,1.028,-0.017
M10SU1V3,-0.534,1.028,-0.082
M10SU2V1,-0.66,1.029,-0.07
M10SU2V2,-0.692,1.028,-0.033
M10SU2V3,-0.739,1.026,-0.044
M10SU3V1,-0.769,1.028,-0.059
M10SU3V2,-0.855,1.029,-0.047
M10SU3V3,-0.877,1.029,-0.089
M10SU4V1,-0.93,1.029,-0.115
M10SU4V2,-0.939,1.029,-0.149
M10SU4V3,-0.628,1.026,-0.119
M10SU5V1,-0.658,1.029,-0.089
M10SU5V2,-0.682,1.03,-0.125
M11A0V1,1.06,1.024,-1.819
M11A1V1,0.715,1.02,-2.123
M11A2V1,0.686,1.021,-2.091
M11A3V1,0.747,1.022,-2.087
M11A4V1,0.642,0.955,-2.13
M11A5V1,0.872,1.019,-2.121
M11D0V1,1.002,1.027,-2.141
M11D0V2,0.973,1.029,-1.971
M11D1V1,0.023,1.016,0.196
M11D2V1,-0.016,1.014,0.321
M11D2V2,-0.065,1.015,0.343
M11D3V1,-0.121,1.018,0.323
M11D4V1,-0.108,1.015,-0.042
M11D5V1,-0.294,1.014,0.232
M11F0V1,1.104,1.025,-1.831
M11F0V2,1.03,1.026,-1.75
M11F0V3,1.031,1.024,-2.337
M11F1V1,1.399,1.011,-2.33
M11F1V2,0.055,1.018,-0.011
M11F1V3,0.078,1.02,0.039
M11F2V1,0.205,1.021,0.158
M11F3V1,0.279,1.021,0.119
M11F4V1,0.189,1.018,0.196
M11F4V2,-0.287,1.02,0.149
M11F5V1,-0.236,1.019,0.001
M11H0V1,1.059,1.028,-1.546
M11H0V2,0.99,1.025,-1.814
M11H1V1,0.041,1.02,0.072
M11H1V2,0.484,1.022,-0.14
M11H2V1,0.496,1.02,-0.091
M11H3V1,0.746,1.015,-0.296
M11H4V1,0.694,1.017,-0.078
M11H5V1,0.711,1.021,-0.024
M11N1V1,0.899,1.025,-2.187
M11N2V1,0.887,1.024,-2.142
M11N2V2,0.964,1.027,-2.313
M11N3V1,0.825,1.007,-2.189
M11N4V1,1.001,1.019,-2.151
M11N5V1,0.856,1.025,-2.159
M11SA0V1,1.102,1.023,-1.849
M11SA1V1,-0.134,1.02,0.282
M11SA2V1,-0.132,1.013,0.282
M11SA3V1,-0.117,1.02,0.237
M11SA3V2,-0.035,1.016,0.186
M11SA4V1,-0.015,1.016,0.224
M11SA5V1,0.003,1.017,0.232
M11SU0V1,0.946,1.027,-2.025
M11SU1V1,0.909,1.022,-2.414
M11SU2V1,0.836,1.02,-2.262
M11SU3V1,0.878,1.02,-2.333
M11SU4V1,1.19,1.02,-2.582
M11SU5V1,1.129,1.02,-2.332
